Destination,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
Afghanistan,339432,144098,171550,69189,167882,74909
Albania,52031,48810,26517,24908,25514,23902
Algeria,239473,250378,126522,132142,112951,118236
American Samoa,23513,23608,11998,12047,11515,11561
Andorra,42264,45574,21485,23333,20779,22241
Angola,632178,656434,304635,331401,327543,325033
Anguilla,5471,5715,2594,2706,2877,3009
Antigua and Barbuda,28082,29386,12524,13120,15558,16266
Argentina,2086305,2281732,960310,1062533,1125995,1219199
Armenia,191199,190349,77436,78085,113763,112264
Aruba,36114,53593,16108,24307,20006,29286
Australia,6731280,7687649,3344038,3813000,3387242,3874649
Austria,1483125,1738184,714538,848395,768587,889789
Azerbaijan,264359,252228,126656,121007,137703,131221
Bahamas,59241,63583,29963,32161,29278,31422
Bahrain,722487,936094,529546,694238,192941,241856
Bangladesh,1422179,2115408,751741,1093978,670438,1021430
Barbados,34475,34869,15488,15668,18987,19201
Belarus,1082905,1067090,495961,488713,586944,578377
Belgium,1783488,2005479,869989,984117,913499,1021362
Belize,54615,62043,27473,31210,27142,30833
Benin,366284,394276,172056,185619,194228,208657
Bermuda,19212,19739,9421,9724,9791,10015
Bhutan,51106,53612,43396,45524,7710,8088
Bolivia (Plurinational State of),143008,164121,74949,85961,68059,78160
"Bonaire, Sint Eustatius and Saba",24571,26221,12709,13614,11862,12607
Bosnia and Herzegovina,38597,36042,18412,16880,20185,19162
Botswana,103053,110268,58651,62817,44402,47451
Brazil,710428,1079841,383534,582966,326894,496875
British Virgin Islands,19535,22164,9413,10681,10122,11483
Brunei Darussalam,102733,111959,58181,63407,44552,48552
Bulgaria,123810,184367,60063,91587,63747,92780
Burkina Faso,704676,723989,335328,344331,369348,379658
Burundi,298299,344767,146970,170125,151329,174642
Cabo Verde,14924,15788,7547,7985,7377,7803
Cambodia,73962,79341,39854,42730,34108,36611
Cameroon,508346,579209,251311,286254,257035,292955
Canada,7428657,8049323,3533164,3828361,3895493,4220962
Cayman Islands,26193,29242,13406,15017,12787,14225
Central African Republic,81568,88546,43147,46357,38421,42189
Chad,466968,547494,215640,249548,251328,297946
Channel Islands,82307,84087,39338,40190,42969,43897
Chile,639724,1645015,319714,830073,320010,814942
China,978046,1039675,600136,637952,377910,401723
"China, Hong Kong SAR",2841113,2962492,1120982,1107970,1720131,1854522
"China, Macao SAR",376066,403490,174589,187321,201477,216169
"China, Taiwan Province of China",0,0,0,0,0,0
Colombia,159407,1905393,85158,953735,74249,951658
Comoros,12555,12496,6071,6044,6484,6452
Congo,390142,387606,213764,211403,176378,176203
Cook Islands,4168,4579,2090,2290,2078,2289
Costa Rica,411702,520735,197615,263639,214087,257096
Croatia,561093,528056,260473,245564,300620,282492
Cuba,4649,3024,2027,1312,2622,1712
Curaçao,37611,57210,15467,24958,22144,32252
Cyprus,176693,190366,77357,85679,99336,104687
Czechia,416455,540921,239228,312941,177227,227980
Côte d'Ivoire,2470613,2564857,1368110,1420248,1102503,1144609
Dem. People's Republic of Korea,48458,49549,24110,24654,24348,24895
Democratic Republic of the Congo,810018,952871,393966,459052,416052,493819
Denmark,595880,717577,291433,354478,304447,363099
Djibouti,112351,119738,59081,62863,53270,56875
Dominica,8093,8284,4215,4314,3878,3970
Dominican Republic,549289,603794,353448,382542,195841,221252
Ecuador,387513,784787,200352,406860,187161,377927
Egypt,353641,543937,207433,289552,146208,254385
El Salvador,42059,42767,20006,20344,22053,22423
Equatorial Guinea,209611,230618,161527,177716,48084,52902
Eritrea,15941,13934,8833,7815,7108,6119
Estonia,194665,199277,80025,86767,114640,112510
Eswatini,32352,32858,16627,16921,15725,15937
Ethiopia,1161642,1085517,591409,536807,570233,548710
Falkland Islands (Malvinas),1571,1957,873,1089,698,868
Faroe Islands,5485,6812,2783,3542,2702,3270
Fiji,14526,14880,7840,8031,6686,6849
Finland,314856,386052,159315,198822,155541,187230
France,7878350,8524886,3808576,4130741,4069774,4394145
French Guiana,106108,119249,50399,56642,55709,62607
French Polynesia,30058,30081,17136,17150,12922,12931
Gabon,378686,416651,243782,268032,134904,148619
Gambia,192540,215659,101501,113766,91039,101893
Georgia,76685,79368,33570,34879,43115,44489
Germany,10220418,15762457,5037961,7891635,5182457,7870822
Ghana,414744,476412,221026,254403,193718,222009
Gibraltar,11065,11190,5591,5656,5474,5534
Greece,1243110,1340645,570680,642796,672430,697849
Greenland,6009,5899,3951,3822,2058,2077
Grenada,7057,7213,3502,3292,3555,3921
Guadeloupe,90956,90206,38680,37914,52276,52292
Guam,90627,95842,46746,49441,43881,46401
Guatemala,74852,84311,35728,39916,39124,44395
Guinea,126696,121466,74217,71407,52479,50059
Guinea-Bissau,22333,17945,10826,8867,11507,9078
Guyana,8661,31169,4794,14497,3867,16672
Haiti,18047,18884,10036,10499,8011,8385
Holy See,790,809,376,372,414,437
Honduras,38330,39195,20123,20575,18207,18620
Hungary,475512,584567,235721,303065,239791,281502
Iceland,39072,65424,19070,35716,20002,29708
India,5210847,4878704,2474515,2273912,2736332,2604792
Indonesia,338124,355505,196717,206538,141407,148967
Iran (Islamic Republic of),2729939,2797235,1487403,1517518,1242536,1279717
Iraq,359352,365766,209217,201427,150135,164339
Ireland,759256,871256,376338,434756,382918,436500
Isle of Man,42238,43040,20596,20987,21642,22053
Israel,2011727,1953575,912899,886517,1098828,1067058
Italy,5805345,6387008,2637803,2965915,3167542,3421093
Jamaica,23165,23629,11765,12008,11400,11621
Japan,2232189,2770996,1050070,1347156,1182119,1423840
Jordan,3166961,3457691,1594808,1756637,1572153,1701054
Kazakhstan,3546060,3732073,1757828,1850097,1788232,1881976
Kenya,1126886,1050147,562909,529975,563977,520172
Kiribati,4390,4712,2279,2442,2111,2270
Kuwait,2866136,3110159,1901855,2063430,964281,1046729
Kyrgyzstan,204382,199011,82616,80456,121766,118555
Lao People's Democratic Republic,45538,48731,29335,31393,16203,17338
Latvia,265418,239422,104011,97022,161407,142400
Lebanon,1916259,1712762,921661,839706,994598,873056
Lesotho,9152,12060,5037,6537,4115,5523
Liberia,112111,87947,64079,50694,48032,37253
Libya,771146,826537,549153,593797,221993,232740
Liechtenstein,23799,25877,11605,12619,12194,13258
Lithuania,136021,145184,57508,73148,78513,72036
Luxembourg,248888,298062,126129,151653,122759,146409
Madagascar,32075,35563,18270,20262,13805,15301
Malawi,197328,191362,93689,93612,103639,97750
Malaysia,3280681,3476560,1996220,2156265,1284461,1320295
Maldives,64273,70079,56345,61437,7928,8642
Mali,420504,485829,213218,246308,207286,239521
Malta,52642,114760,28332,66055,24310,48705
Marshall Islands,3801,3819,2318,2330,1483,1489
Martinique,69174,68624,29432,29199,39742,39425
Mauritania,166552,182286,94070,103203,72482,79083
Mauritius,28585,28893,15832,16003,12753,12890
Mayotte,81386,111540,37657,51609,43729,59931
Mexico,1013691,1197624,508232,601509,505459,596115
Micronesia,127096,133067,64394,67310,62702,65757
Micronesia (Fed. States of),3241,3322,1736,1784,1505,1538
Monaco,25983,26601,12599,12897,13384,13704
Mongolia,19886,21345,13284,14263,6602,7082
Montenegro,71719,70999,28178,27995,43541,43004
Montserrat,1351,1379,696,711,655,668
Morocco,92424,102358,46387,52707,46037,49651
Mozambique,321794,338850,155510,165490,166284,173360
Myanmar,73309,76446,40178,41898,33131,34548
Namibia,101618,109391,54739,59024,46879,50367
Nauru,2042,2442,1141,1423,901,1019
Nepal,509471,487564,156361,146930,353110,340634
Netherlands,1996326,2358338,952319,1134408,1044007,1223930
New Caledonia,68881,73141,36181,38284,32700,34857
New Zealand,1041269,1384031,503529,669281,537740,714750
Nicaragua,40261,42167,20723,21683,19538,20484
Niger,252998,348056,119915,162019,133083,186037
Nigeria,1199115,1308568,657887,713678,541228,594890
Niue,588,588,319,319,269,269
North Macedonia,130730,131311,54496,54740,76234,76571
Northern Mariana Islands,24099,24311,10112,10205,13987,14106
Norway,746380,852241,389373,439207,357007,413034
Oman,1856226,2372836,1552000,1984025,304226,388811
Pakistan,3506520,3276580,1845470,1812804,1661050,1463776
Palau,5813,5987,3425,3286,2388,2701
Panama,184710,313165,94841,167057,89869,146108
Papua New Guinea,30940,31068,18734,18895,12206,12173
Paraguay,156462,169567,81303,88311,75159,81256
Peru,154774,1224519,91090,642404,63684,582115
Philippines,212904,226631,110249,117603,102655,109028
Poland,611855,817254,256623,390449,355232,426805
Portugal,864814,1001963,398390,479936,466424,522027
Puerto Rico,280494,247132,130916,114868,149578,132264
Qatar,1687640,2226192,1416361,1842785,271279,383407
Republic of Korea,1370905,1728182,760957,958365,609948,769817
Republic of Moldova,106374,104438,43467,42743,62907,61695
Romania,281048,705310,146758,386946,134290,318364
Russian Federation,11643326,11636959,5715232,5712110,5928094,5924849
Rwanda,514647,513907,256327,259907,258320,254000
Réunion,127209,131769,64537,66852,62672,64917
Saint Barthélemy,0,0,0,0,0,0
Saint Helena,377,437,251,306,126,131
Saint Kitts and Nevis,7443,7725,3916,4066,3527,3659
Saint Lucia,8673,8338,4179,4004,4494,4334
Saint Martin (French part),0,0,0,0,0,0
Saint Pierre and Miquelon,986,998,516,523,470,475
Saint Vincent and the Grenadines,4637,4738,2355,2443,2282,2295
Samoa,4273,4035,2156,2036,2117,1999
San Marino,5195,5543,2867,2991,2328,2552
Sao Tome and Principe,2394,2139,1197,1067,1197,1072
Saudi Arabia,10771366,13454842,7461502,9235130,3309864,4219712
Senegal,266496,274929,141402,145591,125094,129338
Serbia,807441,823011,355180,362493,452261,460518
Seychelles,12791,13050,8954,9136,3837,3914
Sierra Leone,58830,53746,33077,30408,25753,23338
Singapore,2483405,2523648,1096394,1112517,1387011,1411131
Sint Maarten (Dutch part),27295,28845,13077,13822,14218,15023
Slovakia,177632,197167,89014,100552,88618,96615
Slovenia,237616,277964,134460,162815,103156,115149
Solomon Islands,2850,2778,1600,1562,1250,1216
Somalia,40990,58590,21584,32285,19406,26305
South Africa,3231774,2860548,1770945,1627332,1460829,1233216
South America,5819345,10647966,2875049,5325059,2944296,5322907
South Sudan,844112,882252,430944,443405,413168,438847
Spain,5891327,6842360,2884053,3272841,3007274,3569519
Sri Lanka,39706,40254,20745,21196,18961,19058
State of Palestine,273163,272784,124710,124737,148453,148047
Sudan,620523,1379147,311885,685177,308638,693970
Suriname,43127,47801,23544,26271,19583,21530
Sweden,1602533,2003919,786876,1008010,815657,995909
Switzerland,2258227,2491266,1103429,1222207,1154798,1269059
Syrian Arab Republic,835716,868711,426967,432279,408749,436432
Tajikistan,275101,276031,118639,119174,156462,156857
Thailand,3470220,3632496,1742708,1821857,1727512,1810639
Timor-Leste,8520,8399,5148,5076,3372,3323
Togo,277384,279936,139540,141807,137844,138129
Tokelau,1185,1238,564,586,621,652
Tonga,3954,3742,2158,2044,1796,1698
Trinidad and Tobago,50021,78849,24464,39179,25557,39670
Tunisia,56532,60145,29253,31474,27279,28671
Turkey,4346197,6052652,2390166,3124165,1956031,2928487
Turkmenistan,196376,194920,91531,92357,104845,102563
Turks and Caicos Islands,22723,25748,11759,13325,10964,12423
Tuvalu,297,306,144,146,153,160
Uganda,851175,1720313,415845,827664,435330,892649
Ukraine,4915142,4997387,2113924,2149298,2801218,2848089
United Arab Emirates,7995126,8716332,5890170,6419792,2104956,2296540
United Kingdom,8407213,9359827,4021343,4464520,4385870,4895307
United Republic of Tanzania,384567,426017,190617,213007,193950,213010
United States Virgin Islands,56721,56753,26728,26744,29993,30009
United States of America,48194129,50654995,23454382,24489787,24739747,26165208
Uruguay,78799,108267,35642,50937,43157,57330
Uzbekistan,1170873,1162007,545721,543364,625152,618643
Vanuatu,3186,3257,1583,1619,1603,1638
Venezuela (Bolivarian Republic of),1404448,1324193,703458,652823,700990,671370
Viet Nam,72793,76767,42168,44471,30625,32296
Wallis and Futuna Islands,2050,2040,1035,1030,1015,1010
Western Sahara,5179,5424,3059,3205,2120,2219
Yemen,379882,387113,199390,223512,180492,163601
Zambia,132107,187955,66651,97556,65456,90399
Zimbabwe,400482,416141,225653,236561,174829,179580
